Legende	layer.Nr	THICK	STONEF	PSIF	THETAF	THSAT	BEXP	KF	WETINF	SWATMX
34	1	0.05	0.1	-25	0.365	0.485	5.3	13.1	0.92	21.825
34	2	0.15	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	60.885
34	3	0.8	0.6	-25	0.365	0.485	5.3	13.1	0.92	155.2
35	1	0.04	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	16.236
35	2	1.16	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	403.68
36	1	0.65	0.45	-25	0.365	0.485	5.3	13.1	0.92	173.3875
37	1	0.04	0	-25	0.365	0.485	5.3	13.1	0.92	19.4
37	2	0.27	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	93.96
37	3	0.44	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	119.064
38	1	0.8	0.13	-8.5	0.324	0.451	5.39	6.3	0.92	313.896
39	1	0.16	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	64.944
39	2	0.14	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	56.826
39	3	0.22	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	89.298
39	4	0.24	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	97.416
39	5	0.34	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	88.74
40	1	0.1	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	36.08
40	2	0.3	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	81.18
40	3	0.6	0.6	-7.9	0.266	0.435	4.9	5.5	0.92	104.4
41	1	0.25	0	-8.5	0.324	0.451	5.39	6.3	0.92	112.75
41	2	0.25	0	-14.8	0.402	0.476	8.52	7.3	0.92	119
41	3	0.5	0.6	-14.8	0.402	0.476	8.52	7.3	0.92	95.2
42	1	0.25	0.1	-25	0.365	0.485	5.3	13.1	0.92	109.125
42	2	0.2	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	72.16
42	3	0.55	0	-8.5	0.324	0.451	5.39	6.3	0.92	248.05
43	1	0.25	0.1	-25	0.365	0.485	5.3	13.1	0.92	109.125
43	2	0.18	0.1	-25	0.365	0.485	5.3	13.1	0.92	78.57
43	3	0.32	0	-6	0.397	0.477	7.75	4.9	0.92	152.64
43	4	0.25	0	-14.8	0.402	0.476	8.52	7.3	0.92	119
44	1	0.02	0	-6	0.397	0.477	7.75	4.9	0.92	9.54
44	2	0.11	0	-25	0.365	0.485	5.3	13.1	0.92	53.35
44	3	0.22	0.1	-25	0.365	0.485	5.3	13.1	0.92	96.03
44	4	0.65	0.4	-25	0.365	0.485	5.3	13.1	0.92	189.15
45	1	0.1	0	-25	0.365	0.485	5.3	13.1	0.92	48.5
45	2	0.1	0	-25	0.365	0.485	5.3	13.1	0.92	48.5
45	3	0.2	0.2	-25	0.365	0.485	5.3	13.1	0.92	77.6
45	4	0.25	0.2	-25	0.365	0.485	5.3	13.1	0.92	97
45	5	0.15	0.9	-25	0.365	0.485	5.3	13.1	0.92	7.275
46	1	0.04	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	10.824
46	2	0.41	0.6	-8.5	0.324	0.451	5.39	6.3	0.92	73.964
46	3	0.15	0.4	-25	0.365	0.485	5.3	13.1	0.92	43.65
46	4	0.3	0.2	-25	0.365	0.485	5.3	13.1	0.92	116.4
46	5	0.25	0.6	-8.5	0.324	0.451	5.39	6.3	0.92	45.1
46	6	0.15	0.4	-25	0.365	0.485	5.3	13.1	0.92	43.65
47	1	0.3	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	81.18
47	2	0.7	0.4	-25	0.365	0.485	5.3	13.1	0.92	203.7
48	1	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
48	2	0.35	0	-25	0.365	0.485	5.3	13.1	0.92	169.75
48	3	0.35	0	-25	0.365	0.485	5.3	13.1	0.92	169.75
49	1	0.35	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	142.065
49	2	0.35	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	126.28
49	3	0.3	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	81.18
50	1	0.3	0	-14.8	0.402	0.476	8.52	7.3	0.92	142.8
50	2	0.7	0	-6	0.397	0.477	7.75	4.9	0.92	333.9
51	1	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
51	2	0.07	0	-25	0.365	0.485	5.3	13.1	0.92	33.95
51	3	0.18	0	-25	0.365	0.485	5.3	13.1	0.92	87.3
51	4	0.45	0	-25	0.365	0.485	5.3	13.1	0.92	218.25
52	1	0.15	0	-14.8	0.402	0.476	8.52	7.3	0.92	71.4
52	2	0.25	0	-25	0.365	0.485	5.3	13.1	0.92	121.25
52	3	0.2	0	-8.5	0.324	0.451	5.39	6.3	0.92	90.2
52	4	0.15	0	-8.5	0.324	0.451	5.39	6.3	0.92	67.65
52	5	0.05	0	-7.9	0.266	0.435	4.9	5.5	0.92	21.75
52	6	0.15	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	39.15
53	1	0.25	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	90.2
53	2	0.35	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	126.28
53	3	0.2	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	72.16
53	4	0.2	0.2	-14.8	0.402	0.476	8.52	7.3	0.92	76.16
54	1	0.8	0.12	-25	0.365	0.485	5.3	13.1	0.92	341.44
55	1	0.3	0.1	-25	0.365	0.485	5.3	13.1	0.92	130.95
55	2	0.07	0.1	-25	0.365	0.485	5.3	13.1	0.92	30.555
55	3	0.23	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	82.984
55	4	0.1	0	-8.5	0.324	0.451	5.39	6.3	0.92	45.1
55	5	0.3	0	-14.8	0.402	0.476	8.52	7.3	0.92	142.8
56	1	0.25	0.4	-14.8	0.402	0.476	8.52	7.3	0.92	71.4
56	2	0.3	0.4	-14.8	0.402	0.476	8.52	7.3	0.92	85.68
56	3	0.15	0.4	-14.8	0.402	0.476	8.52	7.3	0.92	42.84
56	4	0.3	0.6	-14.8	0.402	0.476	8.52	7.3	0.92	57.12
57	1	0.25	0	-25	0.365	0.485	5.3	13.1	0.92	121.25
57	2	0.35	0	-25	0.365	0.485	5.3	13.1	0.92	169.75
57	3	0.2	0	-25	0.365	0.485	5.3	13.1	0.92	97
57	4	0.5	0	-25	0.365	0.485	5.3	13.1	0.92	242.5
58	1	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
58	2	0.5	0	-25	0.365	0.485	5.3	13.1	0.92	242.5
58	3	0.05	0	-25	0.365	0.485	5.3	13.1	0.92	24.25
58	4	0.1	0	-25	0.365	0.485	5.3	13.1	0.92	48.5
58	5	0.35	0	-25	0.365	0.485	5.3	13.1	0.92	169.75
59	1	0.25	0.1	-25	0.365	0.485	5.3	13.1	0.92	109.125
59	2	0.2	0.2	-25	0.365	0.485	5.3	13.1	0.92	77.6
59	3	0.45	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	156.6
60	1	0.25	0	-25	0.365	0.485	5.3	13.1	0.92	121.25
60	2	0.25	0.1	-25	0.365	0.485	5.3	13.1	0.92	109.125
60	3	0.35	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	91.35
60	4	0.45	0.2	-7	0.188	0.395	4.05	4	0.92	142.2
61	1	0.1	0	-25	0.365	0.485	5.3	13.1	0.92	48.5
61	2	0.5	0	-25	0.365	0.485	5.3	13.1	0.92	242.5
61	3	0.4	0	-6.3	0.317	0.42	7.12	4.2	0.92	168
61	4	0.3	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	104.4
62	1	0.4	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	162.36
62	2	0.2	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	78.3
62	3	0.1	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	27.06
62	4	0.4	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	156.6
62	5	0.1	0.2	-14.8	0.402	0.476	8.52	7.3	0.92	38.08
62	6	0.2	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	69.6
63	1	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
63	2	0.45	0.1	-25	0.365	0.485	5.3	13.1	0.92	196.425
63	3	0.15	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	54.12
63	4	0.4	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	144.32
64	1	0.04	0.6	-6	0.397	0.477	7.75	4.9	0.92	7.632
64	2	0.06	0.6	-6	0.397	0.477	7.75	4.9	0.92	11.448
64	3	0.8	0.9	-14.8	0.402	0.476	8.52	7.3	0.92	38.08
65	1	0.05	0	-25	0.365	0.485	5.3	13.1	0.92	24.25
65	2	0.25	0.1	-25	0.365	0.485	5.3	13.1	0.92	109.125
65	3	0.35	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	142.065
65	4	0.35	0.2	-25	0.365	0.485	5.3	13.1	0.92	135.8
65	5	0.3	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	104.4
66	1	0.2	0.1	-25	0.365	0.485	5.3	13.1	0.92	87.3
66	2	0.35	0.1	-25	0.365	0.485	5.3	13.1	0.92	152.775
66	3	0.25	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	67.65
66	4	0.1	0.4	-3.8	0.203	0.41	4.38	3.5	0.92	24.6
66	5	0.4	0.6	-3.8	0.203	0.41	4.38	3.5	0.92	65.6
67	1	0.25	0.1	-25	0.365	0.485	5.3	13.1	0.92	109.125
67	2	0.15	0.1	-25	0.365	0.485	5.3	13.1	0.92	65.475
67	3	0.1	0.2	-25	0.365	0.485	5.3	13.1	0.92	38.8
67	4	0.4	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	108.24
68	1	0.06	0.2	-25	0.365	0.485	5.3	13.1	0.92	23.28
68	2	0.39	0.2	-25	0.365	0.485	5.3	13.1	0.92	151.32
68	3	0.15	0	-8.5	0.324	0.451	5.39	6.3	0.92	67.65
68	4	0.5	0	-8.5	0.324	0.451	5.39	6.3	0.92	225.5
69	1	0.25	0.2	-25	0.365	0.485	5.3	13.1	0.92	97
69	2	0.35	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	142.065
69	3	0.2	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	72.16
69	4	0.5	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	174
70	1	0.25	0.2	-25	0.365	0.485	5.3	13.1	0.92	97
70	2	0.3	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	108.24
70	3	0.15	0.4	-6.3	0.317	0.42	7.12	4.2	0.92	37.8
70	4	0.3	0.4	-3.8	0.203	0.41	4.38	3.5	0.92	73.8
71	1	0.25	0.1	-25	0.365	0.485	5.3	13.1	0.92	109.125
71	2	0.3	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	108.24
71	3	0.15	0.4	-6.3	0.317	0.42	7.12	4.2	0.92	37.8
71	4	0.3	0	-6	0.397	0.477	7.75	4.9	0.92	143.1
71	5	0.3	0	-3.8	0.203	0.41	4.38	3.5	0.92	123
72	1	0.3	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	81.18
72	2	0.1	0.6	-14.8	0.402	0.476	8.52	7.3	0.92	19.04
72	3	0.15	0.6	-3.7	0.358	0.426	10.4	2.9	0.93	25.56
73	1	0.28	0.1	-25	0.365	0.485	5.3	13.1	0.92	122.22
73	2	0.22	0	-7.7	0.425	0.482	11.4	4.3	0.94	106.04
73	3	0.5	0.1	-7.7	0.425	0.482	11.4	4.3	0.94	216.9
73	4	0.3	0.1	-3.8	0.203	0.41	4.38	3.5	0.92	110.7
74	1	0.25	0.1	-14.8	0.402	0.476	8.52	7.3	0.92	107.1
74	2	0.16	0.1	-25	0.365	0.485	5.3	13.1	0.92	69.84
74	3	0.05	0.1	-25	0.365	0.485	5.3	13.1	0.92	21.825
74	4	0.54	0.1	-25	0.365	0.485	5.3	13.1	0.92	235.71
75	1	0.05	0.1	-25	0.365	0.485	5.3	13.1	0.92	21.825
75	2	0.1	0.1	-25	0.365	0.485	5.3	13.1	0.92	43.65
75	3	0.15	0	-25	0.365	0.485	5.3	13.1	0.92	72.75
75	4	0.3	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	121.77
75	5	0.1	0.6	-8.5	0.324	0.451	5.39	6.3	0.92	18.04
76	1	0.09	0	-7.9	0.266	0.435	4.9	5.5	0.92	39.15
76	2	0.06	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	23.49
76	3	0.2	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	78.3
76	4	0.35	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	137.025
76	5	0.3	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	104.4
76	6	0.2	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	69.6
77	1	0.2	0	-7.9	0.266	0.435	4.9	5.5	0.92	87
77	2	0.2	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	78.3
77	3	0.05	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	19.575
77	4	0.15	0.2	-3.8	0.203	0.41	4.38	3.5	0.92	49.2
77	5	0.2	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	78.3
77	6	0.4	0.1	-3.8	0.203	0.41	4.38	3.5	0.92	147.6
78	1	0.05	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	13.53
78	2	0.75	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	202.95
79	1	0.08	0.1	-25	0.365	0.485	5.3	13.1	0.92	34.92
79	2	0.42	0.1	-14.8	0.402	0.476	8.52	7.3	0.92	179.928
79	3	0.4	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	144.32
79	4	0.2	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	54.12
80	1	0.08	0.1	-25	0.365	0.485	5.3	13.1	0.92	34.92
80	2	0.24	0.1	-25	0.365	0.485	5.3	13.1	0.92	104.76
80	3	0.15	0.2	-25	0.365	0.485	5.3	13.1	0.92	58.2
80	4	0.28	0.6	-25	0.365	0.485	5.3	13.1	0.92	54.32
81	1	0.07	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	28.413
81	2	0.18	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	73.062
81	3	0.25	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	101.475
81	4	0.1	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	40.59
81	5	0.3	0.6	-8.5	0.324	0.451	5.39	6.3	0.92	54.12
82	1	0.05	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	17.4
82	2	0.35	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	126.28
82	3	0.25	0.6	-7.9	0.266	0.435	4.9	5.5	0.92	43.5
82	4	0.15	0.9	-7.9	0.266	0.435	4.9	5.5	0.92	6.525
83	1	0.03	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	11.745
83	2	0.17	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	66.555
83	3	0.2	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	52.2
83	4	0.2	0.9	-3.8	0.203	0.41	4.38	3.5	0.92	8.2
84	1	0.25	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	97.875
84	2	0.35	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	121.8
84	3	0.3	0.9	-3.8	0.203	0.41	4.38	3.5	0.92	12.3
85	1	0.08	0.6	-25	0.365	0.485	5.3	13.1	0.92	15.52
85	2	0.17	0.9	-25	0.365	0.485	5.3	13.1	0.92	8.245
85	3	0.35	0.9	-25	0.365	0.485	5.3	13.1	0.92	16.975
86	1	0.15	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	40.59
86	2	0.15	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	40.59
86	3	0.15	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	40.59
86	4	0.15	0.9	-7.9	0.266	0.435	4.9	5.5	0.92	6.525
87	1	0.6	0.5	-8.5	0.324	0.451	5.39	6.3	0.92	135.3
88	1	0.05	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	18.04
88	2	0.2	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	72.16
88	3	0.25	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	90.2
88	4	0.5	0.6	-8.5	0.324	0.451	5.39	6.3	0.92	90.2
90	1	0.07	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	25.256
90	2	0.29	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	104.632
90	3	0.44	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	114.84
91	1	0.09	0	-8.5	0.324	0.451	5.39	6.3	0.92	40.59
91	2	0.24	0	-8.5	0.324	0.451	5.39	6.3	0.92	108.24
91	3	0.23	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	60.03
92	1	0.08	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	28.864
92	2	0.24	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	86.592
92	3	0.68	0.6	-7.9	0.266	0.435	4.9	5.5	0.92	118.32
93	1	0.18	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	73.062
93	2	0.32	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	129.888
93	3	0.35	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	91.35
93	4	0.25	0.6	-7.9	0.266	0.435	4.9	5.5	0.92	43.5
94	1	0.08	0.1	-25	0.365	0.485	5.3	13.1	0.92	34.92
94	2	0.3	0.1	-25	0.365	0.485	5.3	13.1	0.92	130.95
94	3	0.62	0.4	-25	0.365	0.485	5.3	13.1	0.92	180.42
95	1	0.18	0	-8.5	0.324	0.451	5.39	6.3	0.92	81.18
95	2	0.27	0	-8.5	0.324	0.451	5.39	6.3	0.92	121.77
95	3	0.55	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	143.55
95	4	0.2	0.4	-3.8	0.203	0.41	4.38	3.5	0.92	49.2
96	1	0.35	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	121.8
96	2	0.5	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	180.4
96	3	0.55	0.6	-7.9	0.266	0.435	4.9	5.5	0.92	95.7
97	1	0.1	0	-7	0.188	0.395	4.05	4	0.92	39.5
98	1	0.4	0	-25	0.365	0.485	5.3	13.1	0.92	194
99	1	0.3	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	104.4
99	2	0.15	0.4	-3.8	0.203	0.41	4.38	3.5	0.92	36.9
99	3	0.1	0.4	-3.8	0.203	0.41	4.38	3.5	0.92	24.6
99	4	0.25	0.6	-7	0.188	0.395	4.05	4	0.92	39.5
100	1	0.08	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	28.864
100	2	0.32	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	86.592
100	3	0.18	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	48.708
100	4	0.62	0.6	-3.8	0.203	0.41	4.38	3.5	0.92	101.68
101	1	0.05	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	13.53
101	2	0.4	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	104.4
101	3	0.2	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	52.2
101	4	0.35	0.6	-25	0.365	0.485	5.3	13.1	0.92	67.9
101	5	0.2	0.6	-7.9	0.266	0.435	4.9	5.5	0.92	34.8
101	6	0.3	0.9	-7.9	0.266	0.435	4.9	5.5	0.92	13.05
102	1	0.2	0.75	-7.9	0.266	0.435	4.9	5.5	0.92	21.75
103	1	0.05	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	17.4
103	2	0.1	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	34.8
103	3	0.25	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	87
103	4	0.25	0.4	-3.8	0.203	0.41	4.38	3.5	0.92	61.5
